"","School","G","W","L","W-L%","SRS","SOS","Tm.","Opp.","Pace","ORtg","FTr","3PAr","TS%","TRB%","AST%","STL%","BLK%","eFG%","TOV%","ORB%","FT/FGA","year","NCAABirth","END"
"10","Appalachian State ","32","23","9",".719","2.49","-3.75","2530","2228","","107.6",".375",".274",".571","50.6","58.4","13.8","9.9",".539","18.6","34.3",".266",2000,"NCAA","Appalachian State "
"12","Arizona ","34","27","7",".794","18.97","9.70","2599","2284","","104.4",".441",".244",".544","51.8","59.4","10.2","12.9",".497","17.6","35.4",".322",2000,"NCAA","Arizona "
"16","Arkansas ","34","19","15",".559","12.37","7.76","2529","2372","","101.0",".287",".384",".513","45.8","49.2","15.1","9.2",".497","16.7","33.8",".173",2000,"NCAA","Arkansas "
"18","Auburn ","34","24","10",".706","13.59","8.20","2423","2190","","102.9",".323",".328",".496","52.6","50.1","10.5","8.8",".466","15.6","40.0",".212",2000,"NCAA","Auburn "
"20","Ball State ","31","22","9",".710","7.84","3.17","2300","2138","","105.1",".370",".292",".532","48.9","51.3","11.8","10.4",".512","16.3","34.6",".227",2000,"NCAA","Ball State "
"35","Butler ","31","23","8",".742","12.23","0.01","2107","1728","","105.8",".425",".254",".548","52.7","57.1","11.9","8.4",".519","16.9","33.6",".280",2000,"NCAA","Butler "
"47","Central Connecticut State ","31","25","6",".806","0.42","-9.55","2282","1973","","103.7",".360",".225",".528","53.8","54.2","12.5","12.7",".491","18.1","39.6",".255",2000,"NCAA","Central Connecticut State "
"54","Cincinnati ","33","29","4",".879","24.62","8.50","2560","2028","","110.7",".456",".245",".562","53.4","57.1","10.2","16.5",".524","16.4","37.0",".320",2000,"NCAA","Cincinnati "
"64","Connecticut ","35","25","10",".714","16.93","7.58","2611","2284","","109.3",".341",".230",".542","53.6","55.3","9.6","11.9",".506","17.1","41.9",".249",2000,"NCAA","Connecticut "
"69","Creighton ","33","23","10",".697","8.28","1.64","2410","2191","","108.9",".391",".404",".592","51.7","62.3","11.8","6.7",".561","19.2","31.6",".281",2000,"NCAA","Creighton "
"72","Dayton ","31","22","9",".710","9.95","3.46","2214","2013","","108.1",".398",".340",".537","53.2","54.8","10.5","5.9",".496","17.2","41.1",".284",2000,"NCAA","Dayton "
"76","DePaul ","33","21","12",".636","14.67","7.83","2387","2123","","105.6",".339",".291",".531","55.6","56.3","11.8","9.8",".504","19.3","44.5",".226",2000,"NCAA","DePaul "
"80","Duke ","34","29","5",".853","25.55","8.88","2992","2425","","115.8",".384",".342",".583","50.6","55.9","12.9","11.3",".547","15.7","37.4",".285",2000,"NCAA","Duke "
"98","Florida ","37","29","8",".784","23.48","8.51","3102","2548","","111.5",".385",".318",".570","53.6","55.3","13.1","9.9",".538","18.2","40.5",".273",2000,"NCAA","Florida "
"100","Fresno State ","34","24","10",".706","9.17","3.58","2799","2609","","109.9",".314",".366",".562","48.8","64.1","11.1","10.3",".536","17.0","34.2",".221",2000,"NCAA","Fresno State "
"111","Gonzaga ","35","26","9",".743","16.38","4.64","2719","2308","","112.1",".395",".355",".568","51.7","60.8","8.3","11.2",".544","16.4","34.2",".263",2000,"NCAA","Gonzaga "
"119","Hofstra ","31","24","7",".774","5.23","-6.03","2307","1958","","108.4",".344",".346",".547","53.2","52.6","12.7","11.2",".518","16.4","36.2",".236",2000,"NCAA","Hofstra "
"127","Illinois ","32","22","10",".688","19.73","9.60","2424","2100","","103.8",".396",".339",".530","50.0","59.8","12.7","10.0",".493","16.7","33.1",".273",2000,"NCAA","Illinois "
"128","Indiana State ","32","22","10",".688","6.54","3.22","2136","2030","","98.7",".378",".260",".521","49.0","53.7","13.5","8.5",".481","17.0","28.5",".266",2000,"NCAA","Indiana State "
"129","Indiana ","29","20","9",".690","19.43","10.22","2253","1985","","105.5",".419",".198",".554","51.3","57.5","10.2","11.3",".515","17.2","33.0",".297",2000,"NCAA","Indiana "
"130","Iona ","31","20","11",".645","-1.22","-4.13","2443","2353","","102.1",".444",".227",".537","51.9","62.5","9.7","14.6",".490","19.7","38.3",".322",2000,"NCAA","Iona "
"133","Iowa State ","37","32","5",".865","19.08","7.14","2898","2409","","110.1",".420",".242",".564","54.5","54.4","10.5","7.8",".529","16.8","36.0",".295",2000,"NCAA","Iowa State "
"136","Jackson State ","33","17","16",".515","-12.19","-10.38","2205","2251","","91.2",".486",".193",".478","51.8","54.0","10.4","12.5",".433","21.4","40.6",".310",2000,"NCAA","Jackson State "
"141","Kansas ","34","24","10",".706","17.94","9.79","2676","2382","76.3","102.7",".291",".204",".518","55.1","60.3","12.0","13.2",".495","18.6","42.0",".189",2000,"NCAA","Kansas "
"143","Kentucky ","33","23","10",".697","18.52","12.71","2280","2074","","101.6",".392",".343",".513","53.4","53.8","9.0","14.8",".474","18.4","40.3",".270",2000,"NCAA","Kentucky "
"145","Lafayette ","31","24","7",".774","0.42","-8.07","2280","1986","","104.1",".394",".375",".563","51.0","61.1","14.3","9.3",".527","19.8","33.4",".283",2000,"NCAA","Lafayette "
"146","Lamar ","31","15","16",".484","-6.16","-3.84","1949","2021","","96.5",".329",".373",".489","51.2","60.7","11.1","7.5",".452","19.6","34.9",".226",2000,"NCAA","Lamar "
"151","Louisiana ","34","25","9",".735","2.37","-1.58","2441","2301","","",".380",".294",".505","49.0","56.4","","12.2",".479","","50.6",".234",2000,"NCAA","Louisiana "
"155","Louisiana State ","34","28","6",".824","18.90","5.78","2578","2132","","106.0",".456",".297",".563","55.5","55.0","12.9","13.8",".539","20.6","40.0",".294",2000,"NCAA","Louisiana State "
"157","Louisville ","31","19","12",".613","14.93","8.76","2269","2052","","103.2",".317",".276",".541","48.8","61.0","13.0","11.0",".511","18.9","36.1",".223",2000,"NCAA","Louisville "
"168","Maryland ","35","25","10",".714","17.93","9.44","2683","2386","","103.6",".330",".257",".539","51.1","66.6","13.7","16.3",".511","18.6","37.2",".226",2000,"NCAA","Maryland "
"173","Miami (FL) ","34","23","11",".676","11.83","5.39","2346","2127","","100.6",".350",".223",".510","51.5","58.7","12.3","10.1",".464","18.0","39.8",".262",2000,"NCAA","Miami (FL) "
"177","Michigan State ","39","32","7",".821","25.04","9.91","2889","2299","","112.1",".380",".311",".570","58.9","59.1","9.9","7.7",".533","18.3","42.1",".279",2000,"NCAA","Michigan State "
"187","Missouri ","31","18","13",".581","12.55","8.22","2302","2168","","103.6",".363",".441",".539","46.5","55.3","12.4","4.8",".503","16.2","28.9",".257",2000,"NCAA","Missouri "
"199","Nevada-Las Vegas ","31","23","8",".742","9.74","2.52","2548","2324","","104.1",".376",".258",".529","53.6","67.1","10.7","10.5",".496","18.6","38.8",".256",2000,"NCAA","Nevada-Las Vegas "
"212","North Carolina-Wilmington ","31","18","13",".581","2.41","-0.24","1863","1781","","88.8",".349",".294",".497","50.0","56.2","10.5","6.4",".469","23.2","30.4",".219",2000,"NCAA","North Carolina-Wilmington "
"213","North Carolina ","36","22","14",".611","17.00","11.80","2715","2528","","107.9",".358",".238",".562","52.8","60.1","8.3","11.2",".532","18.1","37.3",".251",2000,"NCAA","North Carolina "
"216","Northern Arizona ","31","20","11",".645","4.34","1.37","2280","2134","","106.6",".383",".414",".593","52.2","63.6","5.6","7.6",".558","21.1","31.6",".287",2000,"NCAA","Northern Arizona "
"225","Ohio State ","30","23","7",".767","17.55","6.55","2182","1852","","106.5",".360",".261",".533","52.1","48.6","9.5","17.1",".497","15.6","36.8",".253",2000,"NCAA","Ohio State "
"227","Oklahoma State ","34","27","7",".794","20.01","6.59","2620","2117","","108.8",".395",".287",".567","52.6","68.8","10.8","9.5",".535","17.3","34.6",".276",2000,"NCAA","Oklahoma State "
"228","Oklahoma ","34","27","7",".794","19.25","6.63","2546","2117","","110.6",".315",".343",".552","52.7","57.3","10.5","7.3",".523","15.9","36.5",".224",2000,"NCAA","Oklahoma "
"232","Oregon ","30","22","8",".733","14.74","8.53","2269","2047","","104.9",".375",".321",".559","51.3","60.8","9.5","7.1",".519","18.8","34.8",".279",2000,"NCAA","Oregon "
"235","Pennsylvania ","29","21","8",".724","4.00","-2.89","1942","1742","","103.4",".336",".344",".535","52.7","61.7","8.4","10.9",".512","16.9","32.2",".217",2000,"NCAA","Pennsylvania "
"236","Pepperdine ","34","25","9",".735","13.11","3.35","2481","2149","","101.0",".276",".329",".524","50.9","53.2","13.0","7.5",".500","17.5","32.8",".184",2000,"NCAA","Pepperdine "
"245","Purdue ","34","24","10",".706","16.87","9.56","2505","2246","","106.2",".459",".308",".537","51.9","56.8","11.1","7.9",".497","17.8","38.7",".314",2000,"NCAA","Purdue "
"258","Saint Louis ","33","19","14",".576","9.00","8.39","2124","2104","","94.3",".447",".255",".517","50.8","55.0","11.3","9.2",".473","22.2","35.7",".307",2000,"NCAA","Saint Louis "
"262","Samford ","32","21","11",".656","3.20","-5.80","2323","1998","","112.1",".312",".488",".613","50.6","65.8","11.1","9.3",".595","18.8","29.3",".218",2000,"NCAA","Samford "
"270","Seton Hall ","32","22","10",".688","10.64","5.11","2295","2118","","104.2",".341",".367",".530","49.0","56.8","10.2","13.8",".500","18.0","36.6",".231",2000,"NCAA","Seton Hall "
"273","South Carolina State ","34","20","14",".588","-10.41","-9.38","2386","2421","","101.1",".361",".301",".481","52.5","44.6","10.0","10.0",".442","16.4","42.0",".243",2000,"NCAA","South Carolina State "
"276","Southeast Missouri State ","31","24","7",".774","4.42","-2.48","2154","1911","","102.0",".394",".332",".540","50.8","51.2","8.9","12.9",".503","19.3","33.3",".277",2000,"NCAA","Southeast Missouri State "
"284","St. Bonaventure ","31","21","10",".677","9.45","5.29","2136","2007","","102.7",".375",".298",".528","52.1","50.3","12.4","7.8",".499","19.4","39.9",".248",2000,"NCAA","St. Bonaventure "
"288","St. John's (NY) ","33","25","8",".758","14.26","6.96","2043","2192","","97.5",".360",".366",".522","49.9","63.4","16.8","7.6",".483","16.9","36.5",".257",2000,"NCAA","St. John's (NY) "
"289","Stanford ","31","27","4",".871","25.65","7.12","2447","1850","","112.1",".454",".350",".575","56.5","65.8","6.5","12.4",".538","17.5","38.5",".322",2000,"NCAA","Stanford "
"293","Syracuse ","32","26","6",".813","17.67","6.20","2400","2033","","109.7",".362",".258",".548","52.6","64.4","13.1","13.1",".514","17.0","40.2",".255",2000,"NCAA","Syracuse "
"294","Temple ","33","27","6",".818","20.64","6.94","2260","1808","","111.4",".324",".411",".512","53.1","59.6","15.4","15.1",".485","12.8","40.0",".212",2000,"NCAA","Temple "
"298","Tennessee ","33","26","7",".788","18.94","8.12","2629","2239","72.9","108.0",".395",".365",".548","51.7","52.9","11.9","13.6",".516","17.8","38.9",".270",2000,"NCAA","Tennessee "
"310","Texas ","33","24","9",".727","20.43","9.61","2460","2103","","105.1",".433",".261",".546","52.8","54.9","10.4","12.1",".518","18.6","37.0",".280",2000,"NCAA","Texas "
"315","Tulsa ","37","32","5",".865","19.94","2.42","2974","2326","","109.9",".389",".344",".565","51.2","60.1","16.0","12.1",".532","17.8","36.3",".274",2000,"NCAA","Tulsa "
