Output,Input
Abilene Christian,Abilene Christian
Air Force,Air Force
Akron,Akron
Alabama,Alabama
Alabama A&M,Alabama A&M
Alabama State,Alabama State
Alabama-Birmingham,UAB
Albany (NY),Albany
Alcorn State,Alcorn State
American,American
Appalachian State,Appalachian State
Arizona,Arizona
Arizona State,Arizona State
Arkansas,Arkansas
Little Rock,Arkansas-Little Rock
Little Rock,Arkansas–Little Rock
Arkansas-Pine Bluff,Arkansas–Pine Bluff
Auburn,Auburn
Austin Peay,Austin Peay
Brigham Young,BYU
Ball State,Ball State
Baylor,Baylor
Belmont,Belmont
Binghamton,Binghamton
Boise State,Boise State
Boston College,Boston College
Boston University,Boston University
Bradley,Bradley
Brigham Young,Brigham Young
Bucknell,Bucknell
Buffalo,Buffalo
Butler,Butler
Cal Poly,Cal Poly
Cal State Bakersfield,Cal State Bakersfield
Cal State Fullerton,Cal State Fullerton
Cal State Northridge,Cal State Northridge
Cal State Northridge,Cal State–Northridge
University of California,California
Central Connecticut State,Central Connecticut State
Central Florida,UCF
Central Florida,Central Florida
Central Michigan,Central Michigan
College of Charleston,Charleston
Charlotte,Charlotte
Chattanooga,Chattanooga
Cincinnati,Cincinnati
Clemson,Clemson
Cleveland State,Cleveland State
Coastal Carolina,Coastal Carolina
Colgate,Colgate
Colorado,Colorado
Colorado State,Colorado State
Connecticut,Connecticut
Coppin State,Coppin State
Cornell,Cornell
Creighton,Creighton
Davidson,Davidson
Dayton,Dayton
DePaul,DePaul
Delaware,Delaware
Delaware State,Delaware State
Detroit Mercy,Detroit
Drake,Drake
Duke,Duke
East Tennessee State,East Tennessee State
Eastern Illinois,Eastern Illinois
Eastern Kentucky,Eastern Kentucky
Eastern Washington,Eastern Washington
Fairleigh Dickinson,Fairleigh Dickinson
Florida,Florida
Florida A&M,Florida A&M
Florida A&M,Florida A&M(Play-in Loser)
Florida Atlantic,Florida Atlantic
Florida Gulf Coast,Florida Gulf Coast
Florida State,Florida State
Fresno State,Fresno State
Gardner-Webb,Gardner–Webb
Gardner-Webb,Gardnerâ€“Webb
George Mason,George Mason
George Washington,George Washington
Georgetown,Georgetown
Georgia,Georgia
Georgia State,Georgia State
Georgia Tech,Georgia Tech
Gonzaga,Gonzaga
Green Bay,Green Bay
Hampton,Hampton
Harvard,Harvard
Hawaii,Hawaii
Hofstra,Hofstra
Holy Cross,Holy Cross
Houston,Houston
IUPUI,IUPUI
Illinois,Illinois
Illinois-Chicago,Illinois-Chicago
Illinois-Chicago,UIC
Indiana,Indiana
Indiana State,Indiana State
Iona,Iona
Iowa,Iowa
Iowa State,Iowa State
Jackson State,Jackson State
Jacksonville State,Jacksonville State
James Madison,James Madison
Kansas,Kansas
Kansas State,Kansas State
Kent State,Kent State
Kentucky,Kentucky
Long Island University,LIU Brooklyn
Louisiana State,LSU
La Salle,La Salle
Lafayette,Lafayette
Lamar,Lamar
Lehigh,Lehigh
Liberty,Liberty
Lipscomb,Lipscomb
Long Beach State,Long Beach State
Long Island University,Long Island
Louisiana,Louisiana-Lafayette
Louisiana,Louisiana-Lafayette (vacated)[citation needed]
Louisiana,Louisiana–Lafayette (Vacated)
Louisville,Louisville
Loyola (MD),Loyola
Loyola (IL),Loyola-Chicago
Manhattan,Manhattan
Marquette,Marquette
Marshall,Marshall
Maryland,Maryland
Maryland-Baltimore County,UMBC
Massachusetts,Massachusetts
McNeese State,McNeese State
Memphis,Memphis
Mercer,Mercer
Miami (FL),Miami
Miami (FL),Miami (FL)
Miami (OH),Miami (Ohio)
Michigan,Michigan
Michigan State,Michigan State
Middle Tennessee,Middle Tennessee
Milwaukee,Milwaukee
Minnesota,Minnesota
Mississippi,Mississippi
Mississippi State,Mississippi State
Mississippi Valley State,Mississippi Valley State
Missouri,Missouri
Monmouth,Monmouth
Montana,Montana
Morehead State,Morehead State
Morgan State,Morgan State
Mount St. Mary's,Mount St. Mary's
Murray State,Murray State
North Carolina State,NC State
Nebraska,Nebraska
Nevada,Nevada
Nevada-Las Vegas,UNLV
New Mexico,New Mexico
New Mexico State,New Mexico State
New Orleans,New Orleans
Niagara,Niagara
Niagara,Niagara(Play-in Winner)
Norfolk State,Norfolk State
North Carolina,North Carolina
North Carolina A&T,North Carolina A&T
North Carolina Central,North Carolina Central
North Carolina State,North Carolina State
North Carolina-Asheville,UNC Asheville
North Carolina-Greensboro,UNC Greensboro
