,,Rank,School,Games,Wins,Losses,Win-Loss%,SRS,SOS,Conf Wins,Conf Losses,Home Wins,Home Losses,Away Wins,Away Losses,Points For,Points Against,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,NCAA,Conf Champ,Seed
2019,0,1,Abilene Christian,34,27,7,.794,-1.91,-7.34,14,4,13,2,10,4,2502,2161,108.6,.336,.345,.565,50.3,58.5,12.9,8.0,.535,15.5,28.8,.239,True,True,15
2019,1,12,Arizona State,34,23,11,.676,10.28,6.04,12,6,13,3,6,5,2638,2494,105.4,.438,.355,.543,52.6,51.1,8.5,9.6,.506,16.1,31.3,.298,True,False,11
2019,2,19,Auburn,40,30,10,.750,20.84,10.92,11,7,15,2,4,6,3188,2750,114.1,.312,.494,.569,49.2,52.1,13.2,15.6,.543,14.3,31.6,.221,True,True,5
2019,3,22,Baylor,34,20,14,.588,13.38,9.26,10,8,13,5,5,6,2442,2302,107.6,.323,.408,.538,54.1,54.4,9.2,13.8,.512,16.4,37.6,.219,True,False,9
2019,4,23,Belmont,33,27,6,.818,9.12,-2.60,16,2,13,1,12,3,2868,2439,116.2,.286,.440,.603,52.2,61.9,8.9,9.1,.580,13.7,25.1,.211,True,False,11
2019,5,30,Bradley,35,20,15,.571,-0.08,-0.90,9,9,10,6,5,8,2329,2285,100.2,.359,.348,.531,50.7,52.1,8.0,11.6,.497,16.7,26.9,.248,True,True,15
2019,6,35,Buffalo,36,32,4,.889,15.56,2.62,16,2,14,0,12,3,3037,2550,112.8,.327,.436,.561,52.4,55.3,9.8,10.1,.535,13.8,31.8,.225,True,True,6
2019,7,51,Central Florida,33,24,9,.727,13.37,5.58,13,5,15,2,5,5,2385,2128,107.0,.453,.356,.557,51.5,53.6,8.5,12.6,.529,15.5,29.0,.294,True,False,9
2019,8,57,Cincinnati,35,28,7,.800,14.53,5.50,14,4,16,2,7,4,2510,2194,109.5,.376,.333,.528,53.7,53.4,9.3,14.5,.490,13.3,36.9,.265,True,True,7
2019,9,62,Colgate,35,24,11,.686,1.23,-3.83,13,5,15,1,9,9,2648,2458,110.3,.282,.409,.585,52.7,56.6,8.9,10.0,.559,16.8,29.1,.210,True,True,15
