,,Rank,School,Games,Wins,Losses,Win-Loss%,SRS,SOS,Conf Wins,Conf Losses,Home Wins,Home Losses,Away Wins,Away Losses,Points For,Points Against,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,NCAA,Conf Champ,Seed
2000,0,10,Appalachian State,32,23,9,.719,2.49,-3.75,13,3,,,,,2530,2228,107.6,.375,.274,.571,50.6,58.4,13.8,9.9,.539,18.6,34.3,.266,True,True,14
2000,1,12,Arizona,34,27,7,.794,18.97,9.70,15,3,,,,,2599,2284,104.4,.441,.244,.544,51.8,59.4,10.2,12.9,.497,17.6,35.4,.322,True,False,1
2000,2,16,Arkansas,34,19,15,.559,12.37,7.76,7,9,,,,,2529,2372,101.0,.287,.384,.513,45.8,49.2,15.1,9.2,.497,16.7,33.8,.173,True,True,11
2000,3,18,Auburn,34,24,10,.706,13.59,8.20,9,7,,,,,2423,2190,102.9,.323,.328,.496,52.6,50.1,10.5,8.8,.466,15.6,40.0,.212,True,False,7
2000,4,20,Ball State,31,22,9,.710,7.84,3.17,11,7,,,,,2300,2138,105.1,.370,.292,.532,48.9,51.3,11.8,10.4,.512,16.3,34.6,.227,True,True,11
2000,5,33,Butler,31,23,8,.742,12.23,0.01,12,2,,,,,2107,1728,105.8,.425,.254,.548,52.7,57.1,11.9,8.4,.519,16.9,33.6,.280,True,True,12
2000,6,43,Central Connecticut State,31,25,6,.806,0.42,-9.55,15,3,,,,,2282,1973,103.7,.360,.225,.528,53.8,54.2,12.5,12.7,.491,18.1,39.6,.255,True,True,15
2000,7,50,Cincinnati,33,29,4,.879,24.62,8.50,16,0,,,,,2560,2028,110.7,.456,.245,.562,53.4,57.1,10.2,16.5,.524,16.4,37.0,.320,True,False,2
2000,8,60,Connecticut,35,25,10,.714,16.93,7.58,10,6,,,,,2611,2284,109.3,.341,.230,.542,53.6,55.3,9.6,11.9,.506,17.1,41.9,.249,True,False,5
2000,9,63,Creighton,33,23,10,.697,8.28,1.64,11,7,,,,,2410,2191,108.9,.391,.404,.592,51.7,62.3,11.8,6.7,.561,19.2,31.6,.281,True,True,10
2000,10,66,Dayton,31,22,9,.710,9.95,3.46,11,5,,,,,2214,2013,108.1,.398,.340,.537,53.2,54.8,10.5,5.9,.496,17.2,41.1,.284,True,False,11
2000,11,70,DePaul,33,21,12,.636,14.67,7.83,9,7,,,,,2387,2123,105.6,.339,.291,.531,55.6,56.3,11.8,9.8,.504,19.3,44.5,.226,True,False,9
2000,12,74,Duke,34,29,5,.853,25.55,8.88,15,1,,,,,2992,2425,115.8,.384,.342,.583,50.6,55.9,12.9,11.3,.547,15.7,37.4,.285,True,True,1
2000,13,90,Florida,37,29,8,.784,23.48,8.51,12,4,,,,,3102,2548,111.5,.385,.318,.570,53.6,55.3,13.1,9.9,.538,18.2,40.5,.273,True,False,5
2000,14,92,Fresno State,34,24,10,.706,9.17,3.58,11,3,,,,,2799,2609,109.9,.314,.366,.562,48.8,64.1,11.1,10.3,.536,17.0,34.2,.221,True,True,9
2000,15,101,Gonzaga,35,26,9,.743,16.38,4.64,11,3,,,,,2719,2308,112.1,.395,.355,.568,51.7,60.8,8.3,11.2,.544,16.4,34.2,.263,True,True,10
2000,16,109,Hofstra,31,24,7,.774,5.23,-6.03,16,2,,,,,2307,1958,108.4,.344,.346,.547,53.2,52.6,12.7,11.2,.518,16.4,36.2,.236,True,True,14
2000,17,117,Illinois,32,22,10,.688,19.73,9.60,11,5,,,,,2424,2100,103.8,.396,.339,.530,50.0,59.8,12.7,10.0,.493,16.7,33.1,.273,True,False,4
2000,18,119,Indiana,29,20,9,.690,19.43,10.22,10,6,,,,,2253,1985,105.5,.419,.198,.554,51.3,57.5,10.2,11.3,.515,17.2,33.0,.297,True,False,6
2000,19,118,Indiana State,32,22,10,.688,6.54,3.22,14,4,,,,,2136,2030,98.7,.378,.260,.521,49.0,53.7,13.5,8.5,.481,17.0,28.5,.266,True,False,12
